CustomerID,Customer Name,Gender,Age,Occupation,Income Group,City,Region,Registration Date
C0040,Customer 40,Female,41,Worker,Middle,City2,East,2024-08-28
C0041,Customer 41,Female,26,Business,High,City2,East,2024-02-10
C0042,Customer 42,Female,22,Worker,Low,City3,East,2024-04-27
C0043,Customer 43,Female,22,Business,High,City4,North,2024-09-30
C0044,Customer 44,Female,36,Business,High,City2,West,2024-10-10
C0045,Customer 45,Male,20,Worker,Low,City10,North,2024-04-03
C0046,Customer 46,Female,25,Student,Low,City4,West,2024-06-14
C0047,Customer 47,Male,46,Student,High,City4,South,2024-04-15
C0048,Customer 48,Female,42,Business,Middle,City9,East,2025-05-03
C0049,Customer 49,Female,24,Student,High,City6,North,2024-01-28
C0050,Customer 50,Male,36,Business,High,City6,West,2025-02-04
C0051,Customer 51,Female,43,Student,Low,City6,West,2024-04-24
C0052,Customer 52,Female,31,Business,High,City8,East,2024-09-22
C0053,Customer 53,Male,52,Student,Middle,City4,South,2025-01-04
C0054,Customer 54,Male,35,Student,Middle,City2,East,2024-08-20
C0055,Customer 55,Female,37,Student,Middle,City3,East,2025-08-15
C0056,Customer 56,Female,33,Worker,Low,City9,North,2024-09-07
C0057,Customer 57,Male,19,Student,Middle,City2,East,2025-07-18
C0058,Customer 58,Male,64,Student,Low,City1,East,2025-01-02
C0059,Customer 59,Female,48,Student,Low,City9,East,2024-03-19
C0060,Customer 60,Male,29,Student,Low,City6,East,2024-04-19
C0061,Customer 61,Female,26,Student,Low,City9,North,2024-11-19
C0062,Customer 62,Male,29,Worker,Middle,City9,South,2024-02-19
C0063,Customer 63,Male,34,Student,High,City8,West,2025-07-16
C0064,Customer 64,Female,52,Worker,High,City8,North,2025-02-09
C0065,Customer 65,Female,28,Worker,Middle,City1,West,2025-08-07
C0066,Customer 66,Male,21,Business,Middle,City10,South,2025-08-30
C0067,Customer 67,Male,26,Worker,Middle,City7,West,2024-06-25
C0068,Customer 68,Male,32,Worker,Low,City3,East,2025-05-27
C0069,Customer 69,Female,61,Business,High,City4,South,2024-11-16
C0070,Customer 70,Female,61,Worker,Low,City7,East,2025-07-27
C0071,Customer 71,Female,59,Student,Low,City2,East,2024-06-12
C0072,Customer 72,Male,37,Worker,High,City5,East,2024-06-18
C0073,Customer 73,Female,56,Student,Low,City10,West,2024-06-29
C0074,Customer 74,Male,34,Worker,Low,City10,North,2025-05-21
C0075,Customer 75,Female,63,Business,Middle,City7,South,2025-07-11
C0076,Customer 76,Male,51,Student,Middle,City2,East,2024-03-26
C0077,Customer 77,Male,57,Business,High,City2,West,2024-09-03
C0078,Customer 78,Female,45,Worker,Low,City6,West,2024-05-09
C0079,Customer 79,Female,31,Student,Middle,City10,West,2024-04-30
C0080,Customer 80,Female,35,Student,Middle,City9,North,2024-07-13
C0081,Customer 81,Female,55,Student,Low,City10,South,2024-09-23
C0082,Customer 82,Male,29,Worker,Low,City9,South,2024-10-06
C0083,Customer 83,Female,55,Worker,High,City8,South,2025-07-12
C0084,Customer 84,Female,49,Worker,Low,City4,West,2024-07-28
C0085,Customer 85,Female,24,Student,Low,City10,North,2025-07-12
C0086,Customer 86,Female,61,Business,High,City3,North,2025-05-27
C0087,Customer 87,Female,54,Worker,Middle,City9,East,2025-06-25
C0088,Customer 88,Female,18,Student,Middle,City8,East,2024-11-08
C0089,Customer 89,Female,39,Business,High,City10,West,2024-04-25
C0090,Customer 90,Female,42,Student,High,City1,East,2025-10-12
C0091,Customer 91,Male,47,Business,High,City7,East,2024-06-23
C0092,Customer 92,Female,57,Business,High,City4,East,2025-06-22
C0093,Customer 93,Male,61,Worker,High,City7,West,2024-12-10
C0094,Customer 94,Male,49,Business,Low,City5,North,2025-02-20
C0095,Customer 95,Male,58,Worker,Middle,City3,North,2025-09-11
C0096,Customer 96,Male,40,Worker,High,City7,East,2024-06-04
C0097,Customer 97,Female,34,Worker,Low,City8,North,2024-10-04
C0098,Customer 98,Male,65,Business,Middle,City2,East,2024-03-09
C0099,Customer 99,Female,19,Student,High,City3,North,2025-02-15
C0100,Customer 100,Female,56,Worker,Low,City9,South,2024-08-30
C0101,Customer 101,Female,35,Student,Low,City9,East,2025-04-24
C0102,Customer 102,Male,28,Worker,High,City9,East,2024-12-30
C0103,Customer 103,Male,43,Business,Middle,City3,West,2024-09-22
C0104,Customer 104,Female,63,Student,Middle,City10,South,2025-11-07
C0105,Customer 105,Male,57,Worker,Middle,City7,South,2024-10-02
C0106,Customer 106,Male,22,Business,High,City3,West,2025-08-18
C0107,Customer 107,Male,56,Worker,Middle,City9,South,2024-05-21
C0108,Customer 108,Male,63,Worker,Middle,City5,West,2024-09-03
C0109,Customer 109,Male,63,Student,High,City5,North,2024-04-18
C0110,Customer 110,Male,43,Worker,Middle,City2,South,2024-02-16
C0111,Customer 111,Male,56,Student,Low,City1,West,2025-06-25
C0112,Customer 112,Female,39,Business,Middle,City2,South,2024-04-07
C0113,Customer 113,Male,43,Student,Middle,City8,West,2024-06-21
C0114,Customer 114,Male,33,Worker,Middle,City9,West,2024-08-04
C0115,Customer 115,Female,63,Worker,Middle,City8,North,2024-08-06
C0116,Customer 116,Male,20,Student,Low,City8,East,2025-01-27
C0117,Customer 117,Female,30,Worker,Low,City3,North,2024-01-16
C0118,Customer 118,Female,27,Business,High,City1,West,2024-09-17
C0119,Customer 119,Male,23,Worker,High,City5,North,2024-02-06
C0120,Customer 120,Male,51,Student,Low,City5,North,2025-03-18
C0121,Customer 121,Male,30,Student,Middle,City3,East,2024-07-15
C0122,Customer 122,Female,42,Worker,High,City5,East,2025-10-19
C0123,Customer 123,Male,33,Student,High,City10,South,2024-12-24
C0124,Customer 124,Female,56,Business,High,City9,North,2024-12-27
C0125,Customer 125,Female,52,Student,High,City9,West,2025-11-09
C0126,Customer 126,Male,63,Worker,High,City10,North,2024-09-14
C0127,Customer 127,Male,24,Student,Low,City4,West,2024-02-15
C0128,Customer 128,Male,58,Student,High,City8,East,2024-04-11
C0129,Customer 129,Female,20,Student,High,City1,West,2025-11-11
C0130,Customer 130,Male,43,Business,Middle,City1,East,2024-04-02
C0131,Customer 131,Female,38,Student,Middle,City1,West,2024-02-29
C0132,Customer 132,Female,38,Business,Low,City5,West,2024-04-29
C0133,Customer 133,Female,24,Worker,Low,City9,South,2024-12-04
C0134,Customer 134,Female,50,Worker,High,City8,North,2024-05-12
C0135,Customer 135,Female,51,Business,High,City10,North,2024-10-25
C0136,Customer 136,Male,30,Worker,Middle,City9,East,2024-04-09
C0137,Customer 137,Female,40,Student,High,City2,North,2024-11-03
C0138,Customer 138,Female,44,Worker,Middle,City6,East,2024-11-29
C0139,Customer 139,Male,51,Student,Low,City6,East,2024-12-01
C0140,Customer 140,Male,46,Worker,Middle,City8,East,2025-01-24
C0141,Customer 141,Male,55,Student,Low,City1,West,2025-08-12
C0142,Customer 142,Female,33,Business,High,City6,East,2025-10-20
C0143,Customer 143,Female,43,Worker,Middle,City10,East,2025-06-28
C0144,Customer 144,Male,19,Student,Middle,City4,South,2024-04-25
C0145,Customer 145,Male,44,Business,High,City1,North,2025-07-12
C0146,Customer 146,Female,63,Student,Low,City5,North,2025-10-09
C0147,Customer 147,Male,22,Student,High,City3,West,2024-01-23
C0148,Customer 148,Female,49,Business,Middle,City4,South,2025-09-04
C0149,Customer 149,Female,33,Worker,Middle,City6,South,2025-05-08
C0150,Customer 150,Male,34,Worker,Low,City1,West,2025-06-10
C0151,Customer 151,Female,22,Worker,High,City9,West,2024-02-11
C0152,Customer 152,Female,47,Student,Low,City5,North,2025-07-07
C0153,Customer 153,Male,37,Business,High,City6,East,2025-06-22
C0154,Customer 154,Female,52,Business,Middle,City10,East,2025-04-08
C0155,Customer 155,Female,26,Business,Middle,City10,South,2025-07-17
C0156,Customer 156,Male,34,Business,Low,City7,North,2025-01-12
C0157,Customer 157,Female,43,Worker,High,City1,North,2024-04-02
C0158,Customer 158,Male,42,Worker,Middle,City5,East,2025-10-13
C0159,Customer 159,Female,39,Worker,Middle,City2,West,2024-12-29
C0160,Customer 160,Male,44,Student,Low,City3,East,2025-01-11
C0161,Customer 161,Male,55,Worker,Middle,City5,East,2025-03-06
C0162,Customer 162,Female,45,Worker,Middle,City4,West,2025-02-15
C0163,Customer 163,Female,23,Student,Low,City4,South,2024-08-22
C0164,Customer 164,Male,24,Worker,Low,City8,North,2025-02-12
C0165,Customer 165,Male,18,Student,Middle,City10,North,2025-07-16
C0166,Customer 166,Male,52,Worker,Middle,City1,North,2025-07-20
C0167,Customer 167,Female,60,Business,Low,City5,East,2024-07-02
C0168,Customer 168,Female,63,Student,Low,City2,West,2024-05-06
C0169,Customer 169,Female,36,Business,High,City8,West,2024-04-28
C0170,Customer 170,Female,24,Student,Middle,City10,South,2024-06-20
C0171,Customer 171,Female,44,Business,High,City5,West,2025-10-10
C0172,Customer 172,Male,57,Worker,Middle,City2,North,2025-11-04
C0173,Customer 173,Female,63,Worker,Low,City9,West,2024-11-03
C0174,Customer 174,Male,32,Business,Middle,City5,South,2025-02-25
C0175,Customer 175,Male,26,Worker,Low,City7,North,2025-06-29
C0176,Customer 176,Male,44,Worker,Middle,City8,East,2024-09-30
C0177,Customer 177,Female,31,Worker,Middle,City10,West,2024-09-04
C0178,Customer 178,Female,29,Business,Low,City10,West,2025-07-01
C0179,Customer 179,Male,21,Business,Middle,City9,South,2025-10-22
C0180,Customer 180,Male,38,Business,Middle,City8,East,2024-05-01
C0181,Customer 181,Male,26,Business,Middle,City4,North,2025-10-12
C0182,Customer 182,Male,54,Student,High,City2,South,2025-07-30
C0183,Customer 183,Male,50,Business,High,City5,West,2024-12-01
C0184,Customer 184,Male,19,Worker,High,City4,North,2024-08-17
C0185,Customer 185,Female,61,Business,Middle,City5,West,2024-01-24
C0186,Customer 186,Male,39,Worker,Low,City2,East,2024-05-26
C0187,Customer 187,Male,40,Student,Low,City2,East,2024-11-20
C0188,Customer 188,Male,35,Business,Low,City6,North,2024-03-21
C0189,Customer 189,Male,43,Worker,High,City4,North,2025-11-26
C0190,Customer 190,Female,35,Student,High,City6,North,2024-12-26
C0191,Customer 191,Male,56,Worker,Middle,City2,West,2025-07-31
C0192,Customer 192,Female,52,Worker,Middle,City4,East,2025-07-16
C0193,Customer 193,Male,21,Business,High,City2,South,2024-09-03
C0194,Customer 194,Male,45,Worker,High,City1,East,2025-07-05
C0195,Customer 195,Female,51,Worker,Middle,City3,West,2024-04-16
C0196,Customer 196,Female,22,Business,High,City6,North,2025-09-25
C0197,Customer 197,Female,46,Business,Low,City3,North,2025-08-16
C0198,Customer 198,Male,61,Student,Middle,City6,East,2024-10-26
C0199,Customer 199,Male,27,Worker,Middle,City7,North,2025-09-07
C0200,Customer 200,Male,35,Worker,High,City10,North,2025-07-04
