SalesID,Date,CustomerID,ProductID,StoreID,EmployeeID,Quantity,Unit Price,Discount %,Sales Amount,Cost,Profit,Payment Method
45,2025-12-01,C0105,P047,S02,E001,1,165.58,0.1,149.02,147,2.02,Card
46,2025-07-09,C0056,P032,S04,E006,9,426.8,0.0,3841.2,2691,1150.2,Transfer
47,2025-11-18,C0186,P003,S03,E003,2,303.16,0.0,606.32,438,168.32,Mobile
48,2025-02-14,C0192,P030,S05,E012,3,388.69,0.05,1107.77,900,207.77,Cash
49,2026-03-30,C0052,P046,S04,E006,10,17.63,0.0,176.3,110,66.3,Cash
50,2025-02-25,C0192,P048,S02,E003,1,310.27,0.05,294.76,225,69.76,Card
51,2026-06-24,C0109,P041,S04,E002,5,262.34,0.1,1180.53,790,390.53,Transfer
52,2025-12-25,C0092,P001,S08,E020,4,24.41,0.1,87.88,56,31.88,Mobile
53,2026-03-13,C0063,P016,S08,E011,7,95.32,0.0,667.24,602,65.24,Card
54,2025-09-03,C0019,P009,S07,E009,10,252.01,0.0,2520.1,1930,590.1,Transfer
55,2026-02-24,C0117,P036,S06,E012,6,296.82,0.1,1602.83,1302,300.83,Transfer
56,2026-06-08,C0005,P044,S06,E005,7,218.87,0.15,1302.28,945,357.28,Transfer
57,2025-05-10,C0141,P009,S03,E006,3,252.01,0.1,680.43,579,101.43,Mobile
58,2025-06-14,C0021,P034,S10,E009,3,198.57,0.05,565.92,396,169.92,Card
59,2025-06-25,C0071,P007,S08,E010,6,107.51,0.1,580.55,546,34.55,Cash
60,2025-12-28,C0116,P010,S02,E005,7,50.88,0.05,338.35,266,72.35,Transfer
61,2026-05-07,C0137,P038,S01,E002,2,176.65,0.05,335.64,226,109.64,Card
62,2026-06-04,C0091,P009,S09,E012,6,252.01,0.1,1360.85,1158,202.85,Transfer
63,2026-01-20,C0009,P013,S05,E020,2,182.89,0.05,347.49,274,73.49,Card
64,2025-11-08,C0084,P006,S10,E013,1,421.8,0.05,400.71,252,148.71,Card
65,2025-08-26,C0075,P001,S10,E001,6,24.41,0.0,146.46,84,62.46,Card
66,2025-08-17,C0095,P045,S09,E009,2,321.9,0.05,611.61,412,199.61,Card
67,2025-03-19,C0080,P016,S10,E017,3,95.32,0.05,271.66,258,13.66,Mobile
68,2025-07-07,C0132,P044,S06,E007,8,218.87,0.15,1488.32,1080,408.32,Mobile
69,2025-07-30,C0059,P019,S03,E005,2,186.03,0.1,334.85,252,82.85,Card
70,2026-05-13,C0093,P011,S03,E002,1,299.96,0.05,284.96,184,100.96,Transfer
71,2025-08-05,C0023,P045,S08,E007,2,321.9,0.05,611.61,412,199.61,Transfer
72,2025-08-11,C0081,P042,S08,E018,3,302.99,0.0,908.97,711,197.97,Cash
73,2026-05-27,C0144,P036,S06,E005,1,296.82,0.1,267.14,217,50.14,Mobile
74,2025-11-16,C0155,P035,S06,E019,2,79.96,0.1,143.93,104,39.93,Cash
75,2026-03-02,C0019,P031,S05,E003,8,106.32,0.1,765.5,664,101.5,Transfer
76,2025-12-02,C0058,P018,S06,E009,1,466.54,0.05,443.21,278,165.21,Transfer
77,2026-03-02,C0004,P039,S05,E006,5,258.64,0.15,1099.22,810,289.22,Transfer
78,2026-03-18,C0111,P036,S10,E007,1,296.82,0.0,296.82,217,79.82,Transfer
79,2025-10-16,C0156,P003,S05,E006,6,303.16,0.15,1546.12,1314,232.12,Transfer
80,2025-04-07,C0102,P016,S06,E017,3,95.32,0.1,257.36,258,-0.64,Card
81,2025-06-03,C0124,P015,S04,E002,7,316.6,0.15,1883.77,1498,385.77,Card
82,2025-02-09,C0133,P036,S09,E016,2,296.82,0.0,593.64,434,159.64,Mobile
83,2026-05-25,C0102,P036,S01,E013,6,296.82,0.05,1691.87,1302,389.87,Mobile
84,2025-02-22,C0186,P002,S06,E012,3,274.71,0.1,741.72,735,6.72,Mobile
85,2025-04-01,C0114,P033,S06,E007,4,126.43,0.1,455.15,440,15.15,Card
86,2025-02-16,C0094,P015,S10,E011,3,316.6,0.15,807.33,642,165.33,Card
87,2026-05-05,C0003,P011,S10,E008,10,299.96,0.15,2549.66,1840,709.66,Cash
88,2026-06-06,C0054,P024,S07,E015,8,293.47,0.05,2230.37,1984,246.37,Cash
89,2025-05-22,C0044,P033,S06,E005,6,126.43,0.1,682.72,660,22.72,Card
90,2025-08-28,C0142,P047,S07,E015,10,165.58,0.1,1490.22,1470,20.22,Mobile
91,2025-06-23,C0134,P030,S10,E017,9,388.69,0.1,3148.39,2700,448.39,Transfer
92,2025-10-17,C0173,P026,S03,E001,10,17.83,0.05,169.38,160,9.38,Transfer
93,2026-01-25,C0183,P049,S09,E006,2,328.89,0.15,559.11,592,-32.89,Mobile
94,2026-01-08,C0053,P007,S01,E003,8,107.51,0.15,731.07,728,3.07,Cash
95,2025-05-21,C0114,P006,S07,E006,2,421.8,0.15,717.06,504,213.06,Mobile
96,2025-07-18,C0152,P035,S08,E016,8,79.96,0.0,639.68,416,223.68,Mobile
97,2025-06-27,C0154,P003,S05,E006,5,303.16,0.1,1364.22,1095,269.22,Cash
98,2025-03-08,C0141,P050,S04,E015,9,477.56,0.0,4298.04,2565,1733.04,Transfer
99,2025-04-15,C0100,P005,S01,E015,8,119.18,0.1,858.1,648,210.1,Transfer
100,2025-12-06,C0130,P009,S02,E006,7,252.01,0.15,1499.46,1351,148.46,Mobile
101,2026-05-05,C0130,P019,S03,E011,9,186.03,0.15,1423.13,1134,289.13,Card
102,2025-07-18,C0058,P032,S04,E015,6,426.8,0.05,2432.76,1794,638.76,Card
103,2026-03-12,C0014,P025,S08,E005,2,345.2,0.0,690.4,592,98.4,Transfer
104,2025-10-14,C0102,P031,S01,E013,9,106.32,0.1,861.19,747,114.19,Mobile
105,2025-11-07,C0165,P044,S10,E013,8,218.87,0.1,1575.86,1080,495.86,Transfer
106,2025-04-13,C0126,P024,S03,E015,5,293.47,0.05,1393.98,1240,153.98,Card
107,2025-05-07,C0138,P005,S06,E011,8,119.18,0.0,953.44,648,305.44,Mobile
108,2025-11-24,C0144,P020,S10,E015,9,392.13,0.1,3176.25,2034,1142.25,Transfer
109,2025-08-12,C0043,P038,S04,E018,8,176.65,0.15,1201.22,904,297.22,Card
110,2025-02-22,C0200,P006,S06,E020,10,421.8,0.05,4007.1,2520,1487.1,Cash
111,2025-01-31,C0089,P032,S06,E012,6,426.8,0.15,2176.68,1794,382.68,Mobile
112,2025-08-18,C0081,P019,S07,E013,4,186.03,0.1,669.71,504,165.71,Card
113,2025-12-25,C0155,P023,S10,E008,1,424.36,0.15,360.71,268,92.71,Card
114,2026-01-29,C0053,P026,S05,E004,2,17.83,0.1,32.09,32,0.09,Mobile
115,2025-04-06,C0105,P049,S03,E004,1,328.89,0.1,296.0,296,0.0,Card
116,2026-01-20,C0112,P050,S06,E018,6,477.56,0.05,2722.09,1710,1012.09,Transfer
117,2025-06-12,C0043,P050,S09,E006,4,477.56,0.05,1814.73,1140,674.73,Card
118,2026-06-19,C0034,P004,S07,E005,2,45.02,0.15,76.53,58,18.53,Transfer
119,2025-05-21,C0006,P025,S06,E006,10,345.2,0.1,3106.8,2960,146.8,Card
120,2026-05-16,C0009,P046,S02,E005,4,17.63,0.15,59.94,44,15.94,Mobile
121,2025-08-03,C0093,P030,S03,E009,10,388.69,0.05,3692.56,3000,692.56,Transfer
122,2026-05-02,C0008,P010,S09,E015,2,50.88,0.15,86.5,76,10.5,Card
123,2025-01-06,C0185,P018,S05,E002,4,466.54,0.05,1772.85,1112,660.85,Transfer
124,2025-03-15,C0028,P031,S02,E013,9,106.32,0.05,909.04,747,162.04,Transfer
125,2026-06-20,C0182,P047,S08,E009,2,165.58,0.15,281.49,294,-12.51,Card
126,2025-12-24,C0193,P007,S07,E014,7,107.51,0.1,677.31,637,40.31,Mobile
127,2025-07-20,C0017,P012,S03,E008,6,317.68,0.05,1810.78,1236,574.78,Card
128,2026-02-08,C0117,P045,S10,E015,1,321.9,0.05,305.8,206,99.8,Cash
129,2026-06-24,C0002,P015,S01,E014,1,316.6,0.05,300.77,214,86.77,Transfer
130,2025-08-30,C0178,P035,S06,E014,7,79.96,0.05,531.73,364,167.73,Transfer
131,2026-06-03,C0117,P044,S03,E017,10,218.87,0.0,2188.7,1350,838.7,Transfer
132,2025-12-24,C0031,P019,S04,E004,10,186.03,0.0,1860.3,1260,600.3,Mobile
133,2026-01-10,C0034,P024,S03,E010,3,293.47,0.0,880.41,744,136.41,Cash
134,2026-05-10,C0018,P011,S10,E014,8,299.96,0.0,2399.68,1472,927.68,Cash
135,2025-05-12,C0138,P046,S07,E020,8,17.63,0.0,141.04,88,53.04,Mobile
136,2026-05-05,C0188,P044,S06,E015,4,218.87,0.15,744.16,540,204.16,Cash
137,2026-01-14,C0027,P041,S02,E012,2,262.34,0.05,498.45,316,182.45,Cash
138,2025-03-31,C0001,P002,S09,E014,4,274.71,0.0,1098.84,980,118.84,Card
139,2026-05-15,C0157,P010,S01,E019,2,50.88,0.1,91.58,76,15.58,Mobile
140,2026-02-06,C0161,P047,S01,E020,9,165.58,0.1,1341.2,1323,18.2,Cash
141,2026-03-25,C0057,P050,S05,E011,5,477.56,0.15,2029.63,1425,604.63,Mobile
142,2025-10-03,C0132,P043,S03,E015,8,136.26,0.0,1090.08,616,474.08,Mobile
143,2025-11-25,C0131,P004,S07,E014,5,45.02,0.05,213.84,145,68.84,Mobile
144,2025-11-10,C0005,P048,S02,E005,8,310.27,0.05,2358.05,1800,558.05,Mobile
145,2025-09-23,C0080,P038,S09,E010,2,176.65,0.1,317.97,226,91.97,Card
146,2026-04-12,C0010,P013,S08,E016,2,182.89,0.05,347.49,274,73.49,Transfer
147,2025-05-09,C0183,P002,S01,E018,9,274.71,0.1,2225.15,2205,20.15,Card
148,2026-04-19,C0073,P044,S01,E009,5,218.87,0.0,1094.35,675,419.35,Cash
149,2025-04-25,C0026,P042,S06,E020,10,302.99,0.15,2575.42,2370,205.42,Mobile
150,2025-12-18,C0151,P011,S01,E007,2,299.96,0.15,509.93,368,141.93,Card
151,2025-02-13,C0031,P043,S09,E017,1,136.26,0.0,136.26,77,59.26,Transfer
152,2025-06-03,C0059,P035,S04,E003,4,79.96,0.05,303.85,208,95.85,Transfer
153,2025-10-01,C0158,P008,S03,E010,10,216.88,0.15,1843.48,1390,453.48,Card
154,2025-02-28,C0006,P018,S07,E020,2,466.54,0.1,839.77,556,283.77,Transfer
155,2026-03-23,C0018,P006,S03,E007,8,421.8,0.15,2868.24,2016,852.24,Cash
156,2025-12-30,C0091,P034,S09,E005,7,198.57,0.15,1181.49,924,257.49,Card
157,2025-03-02,C0094,P039,S02,E015,4,258.64,0.05,982.83,648,334.83,Transfer
158,2025-09-21,C0040,P005,S09,E013,4,119.18,0.05,452.88,324,128.88,Cash
159,2026-04-29,C0080,P013,S05,E010,8,182.89,0.0,1463.12,1096,367.12,Card
160,2025-02-05,C0197,P045,S07,E015,3,321.9,0.15,820.84,618,202.84,Cash
161,2026-05-21,C0166,P031,S02,E010,3,106.32,0.05,303.01,249,54.01,Mobile
162,2025-04-11,C0064,P006,S04,E016,4,421.8,0.1,1518.48,1008,510.48,Cash
163,2026-01-03,C0181,P008,S10,E020,3,216.88,0.15,553.04,417,136.04,Mobile
164,2025-01-25,C0161,P048,S07,E005,7,310.27,0.15,1846.11,1575,271.11,Mobile
165,2025-10-27,C0100,P025,S10,E014,3,345.2,0.0,1035.6,888,147.6,Cash
166,2026-05-06,C0153,P006,S07,E009,4,421.8,0.1,1518.48,1008,510.48,Cash
167,2025-09-23,C0173,P022,S01,E018,6,30.64,0.05,174.65,126,48.65,Cash
168,2025-09-29,C0193,P009,S02,E010,6,252.01,0.15,1285.25,1158,127.25,Card
169,2026-01-25,C0008,P028,S08,E019,2,442.13,0.15,751.62,532,219.62,Card
170,2026-05-19,C0198,P040,S04,E017,9,80.3,0.15,614.29,495,119.29,Cash
171,2026-02-25,C0154,P046,S02,E008,7,17.63,0.0,123.41,77,46.41,Cash
172,2025-10-28,C0157,P004,S01,E012,8,45.02,0.0,360.16,232,128.16,Cash
173,2025-02-16,C0150,P040,S05,E012,2,80.3,0.0,160.6,110,50.6,Transfer
174,2026-01-02,C0084,P021,S03,E012,2,78.84,0.15,134.03,96,38.03,Card
175,2025-09-12,C0163,P024,S04,E010,6,293.47,0.05,1672.78,1488,184.78,Transfer
176,2025-11-06,C0151,P017,S01,E016,9,146.38,0.1,1185.68,927,258.68,Transfer
177,2025-09-05,C0042,P026,S02,E009,4,17.83,0.05,67.75,64,3.75,Mobile
178,2025-06-18,C0142,P010,S10,E003,4,50.88,0.05,193.34,152,41.34,Transfer
179,2025-06-12,C0010,P013,S08,E007,7,182.89,0.05,1216.22,959,257.22,Mobile
180,2025-08-14,C0185,P038,S05,E017,2,176.65,0.1,317.97,226,91.97,Mobile
181,2025-03-12,C0019,P008,S04,E004,6,216.88,0.0,1301.28,834,467.28,Mobile
182,2025-01-11,C0154,P049,S03,E015,9,328.89,0.15,2516.01,2664,-147.99,Mobile
183,2025-07-16,C0004,P004,S04,E010,9,45.02,0.0,405.18,261,144.18,Card
184,2025-11-12,C0068,P007,S06,E009,9,107.51,0.1,870.83,819,51.83,Transfer
185,2025-01-11,C0161,P012,S08,E002,1,317.68,0.0,317.68,206,111.68,Card
186,2026-04-09,C0170,P019,S05,E004,2,186.03,0.1,334.85,252,82.85,Card
187,2025-01-31,C0050,P040,S03,E020,2,80.3,0.05,152.57,110,42.57,Cash
188,2025-08-21,C0122,P016,S03,E018,8,95.32,0.0,762.56,688,74.56,Cash
189,2025-03-06,C0005,P048,S03,E011,4,310.27,0.05,1179.03,900,279.03,Cash
190,2025-07-19,C0102,P008,S01,E018,9,216.88,0.1,1756.73,1251,505.73,Transfer
191,2026-01-30,C0104,P018,S09,E017,6,466.54,0.1,2519.32,1668,851.32,Mobile
192,2025-07-04,C0195,P028,S08,E019,5,442.13,0.0,2210.65,1330,880.65,Mobile
193,2026-06-23,C0007,P006,S09,E002,3,421.8,0.05,1202.13,756,446.13,Transfer
194,2025-11-23,C0102,P028,S01,E014,3,442.13,0.05,1260.07,798,462.07,Mobile
195,2025-02-05,C0034,P018,S09,E014,9,466.54,0.0,4198.86,2502,1696.86,Mobile
196,2025-02-15,C0056,P004,S04,E010,9,45.02,0.1,364.66,261,103.66,Mobile
197,2025-10-01,C0049,P047,S09,E017,5,165.58,0.0,827.9,735,92.9,Card
198,2025-08-04,C0123,P008,S03,E002,4,216.88,0.0,867.52,556,311.52,Mobile
199,2025-06-04,C0026,P003,S01,E019,5,303.16,0.0,1515.8,1095,420.8,Mobile
200,2025-08-12,C0145,P004,S08,E004,8,45.02,0.05,342.15,232,110.15,Mobile
201,2025-05-11,C0087,P013,S09,E016,4,182.89,0.0,731.56,548,183.56,Mobile
202,2026-03-20,C0150,P021,S04,E015,9,78.84,0.1,638.6,432,206.6,Transfer
203,2026-01-31,C0145,P038,S04,E013,7,176.65,0.1,1112.9,791,321.9,Cash
204,2025-03-19,C0007,P021,S07,E019,3,78.84,0.1,212.87,144,68.87,Mobile
205,2025-04-23,C0161,P002,S04,E015,1,274.71,0.15,233.5,245,-11.5,Transfer
206,2025-12-10,C0174,P007,S01,E009,9,107.51,0.0,967.59,819,148.59,Transfer
207,2026-03-17,C0176,P027,S05,E015,3,144.07,0.05,410.6,285,125.6,Card
208,2025-01-29,C0129,P017,S05,E004,8,146.38,0.15,995.38,824,171.38,Transfer
209,2025-03-28,C0084,P040,S09,E006,5,80.3,0.0,401.5,275,126.5,Card
210,2025-06-24,C0117,P012,S06,E013,5,317.68,0.0,1588.4,1030,558.4,Mobile
211,2026-05-16,C0145,P050,S02,E002,8,477.56,0.0,3820.48,2280,1540.48,Cash
212,2025-02-07,C0069,P041,S05,E006,1,262.34,0.1,236.11,158,78.11,Mobile
213,2025-01-18,C0117,P040,S06,E008,10,80.3,0.1,722.7,550,172.7,Card
214,2025-01-24,C0113,P029,S09,E007,6,162.04,0.0,972.24,672,300.24,Mobile
215,2025-08-26,C0021,P015,S07,E002,3,316.6,0.05,902.31,642,260.31,Card
216,2026-04-11,C0138,P024,S10,E017,6,293.47,0.0,1760.82,1488,272.82,Card
217,2025-08-16,C0066,P043,S09,E015,1,136.26,0.15,115.82,77,38.82,Card
218,2026-02-25,C0103,P038,S09,E014,1,176.65,0.15,150.15,113,37.15,Transfer
219,2025-01-25,C0021,P040,S08,E014,8,80.3,0.1,578.16,440,138.16,Card
220,2026-06-06,C0200,P042,S09,E017,7,302.99,0.05,2014.88,1659,355.88,Card
221,2026-05-08,C0074,P027,S06,E015,5,144.07,0.15,612.3,475,137.3,Mobile
222,2025-10-21,C0062,P025,S06,E018,9,345.2,0.15,2640.78,2664,-23.22,Card
223,2025-03-16,C0068,P034,S07,E006,5,198.57,0.0,992.85,660,332.85,Transfer
224,2026-05-18,C0005,P041,S03,E016,10,262.34,0.1,2361.06,1580,781.06,Cash
225,2025-04-26,C0099,P013,S01,E006,4,182.89,0.05,694.98,548,146.98,Cash
226,2026-04-25,C0007,P042,S01,E009,2,302.99,0.15,515.08,474,41.08,Cash
227,2025-08-01,C0092,P050,S10,E015,9,477.56,0.15,3653.33,2565,1088.33,Cash
228,2026-01-27,C0168,P046,S07,E010,6,17.63,0.1,95.2,66,29.2,Cash
229,2025-12-24,C0110,P019,S07,E014,4,186.03,0.15,632.5,504,128.5,Transfer
230,2025-02-24,C0085,P044,S06,E013,3,218.87,0.05,623.78,405,218.78,Cash
231,2025-07-01,C0038,P033,S02,E018,10,126.43,0.1,1137.87,1100,37.87,Card
232,2026-01-03,C0158,P022,S09,E006,8,30.64,0.05,232.86,168,64.86,Card
233,2025-05-22,C0166,P042,S07,E014,5,302.99,0.05,1439.2,1185,254.2,Mobile
234,2025-03-19,C0007,P012,S06,E008,6,317.68,0.0,1906.08,1236,670.08,Card
235,2026-03-31,C0131,P004,S10,E009,4,45.02,0.15,153.07,116,37.07,Mobile
236,2026-05-09,C0088,P022,S02,E019,10,30.64,0.1,275.76,210,65.76,Cash
237,2025-06-30,C0024,P028,S01,E003,3,442.13,0.15,1127.43,798,329.43,Cash
238,2025-07-18,C0185,P036,S08,E013,3,296.82,0.1,801.41,651,150.41,Transfer
239,2025-04-18,C0182,P010,S07,E015,5,50.88,0.15,216.24,190,26.24,Card
240,2025-05-18,C0176,P011,S10,E001,2,299.96,0.1,539.93,368,171.93,Mobile
241,2025-12-20,C0198,P018,S01,E020,1,466.54,0.1,419.89,278,141.89,Mobile
242,2025-11-20,C0187,P001,S07,E002,6,24.41,0.0,146.46,84,62.46,Mobile
243,2026-02-20,C0189,P032,S02,E019,2,426.8,0.15,725.56,598,127.56,Cash
244,2025-12-23,C0045,P033,S07,E002,1,126.43,0.15,107.47,110,-2.53,Card
245,2025-06-20,C0146,P001,S08,E010,5,24.41,0.15,103.74,70,33.74,Transfer
246,2026-02-26,C0038,P032,S06,E006,1,426.8,0.15,362.78,299,63.78,Mobile
247,2026-05-31,C0165,P005,S02,E020,7,119.18,0.05,792.55,567,225.55,Mobile
248,2026-05-16,C0187,P010,S01,E010,5,50.88,0.15,216.24,190,26.24,Card
249,2025-10-08,C0032,P047,S05,E001,5,165.58,0.15,703.72,735,-31.28,Cash
250,2025-06-04,C0120,P016,S04,E008,2,95.32,0.15,162.04,172,-9.96,Cash
251,2025-04-21,C0025,P020,S01,E019,4,392.13,0.0,1568.52,904,664.52,Cash
252,2026-03-01,C0038,P031,S06,E004,1,106.32,0.1,95.69,83,12.69,Cash
253,2025-06-13,C0138,P044,S10,E016,7,218.87,0.05,1455.49,945,510.49,Card
254,2026-06-09,C0145,P045,S03,E011,6,321.9,0.15,1641.69,1236,405.69,Cash
255,2025-11-02,C0026,P047,S08,E003,1,165.58,0.0,165.58,147,18.58,Cash
256,2025-11-09,C0152,P011,S10,E009,1,299.96,0.1,269.96,184,85.96,Mobile
257,2025-08-17,C0079,P025,S03,E017,7,345.2,0.0,2416.4,2072,344.4,Cash
258,2025-04-07,C0111,P025,S03,E009,6,345.2,0.15,1760.52,1776,-15.48,Cash
259,2025-08-05,C0085,P024,S10,E005,6,293.47,0.1,1584.74,1488,96.74,Card
260,2025-08-24,C0182,P005,S08,E012,10,119.18,0.0,1191.8,810,381.8,Card
261,2026-03-14,C0160,P004,S08,E004,7,45.02,0.1,283.63,203,80.63,Transfer
262,2026-06-12,C0082,P039,S04,E007,1,258.64,0.1,232.78,162,70.78,Card
263,2025-12-22,C0066,P040,S01,E016,4,80.3,0.15,273.02,220,53.02,Card
264,2025-04-03,C0133,P019,S05,E004,7,186.03,0.15,1106.88,882,224.88,Card
265,2026-02-19,C0037,P015,S02,E015,2,316.6,0.15,538.22,428,110.22,Card
266,2025-10-07,C0094,P047,S06,E012,3,165.58,0.05,471.9,441,30.9,Transfer
267,2025-02-01,C0057,P031,S05,E016,10,106.32,0.05,1010.04,830,180.04,Cash
268,2025-06-28,C0179,P021,S04,E009,6,78.84,0.0,473.04,288,185.04,Card
269,2026-01-13,C0177,P018,S06,E007,2,466.54,0.15,793.12,556,237.12,Cash
270,2025-12-14,C0147,P040,S06,E014,1,80.3,0.15,68.26,55,13.26,Transfer
271,2026-02-17,C0194,P041,S10,E009,10,262.34,0.1,2361.06,1580,781.06,Transfer
272,2026-03-24,C0058,P029,S10,E016,10,162.04,0.0,1620.4,1120,500.4,Transfer
273,2025-04-19,C0153,P011,S09,E002,5,299.96,0.0,1499.8,920,579.8,Card
274,2026-03-26,C0076,P003,S07,E013,10,303.16,0.05,2880.02,2190,690.02,Cash
275,2025-06-06,C0188,P049,S10,E007,2,328.89,0.15,559.11,592,-32.89,Mobile
276,2025-04-12,C0105,P048,S03,E016,7,310.27,0.15,1846.11,1575,271.11,Card
277,2025-11-02,C0076,P027,S03,E009,5,144.07,0.0,720.35,475,245.35,Transfer
278,2026-03-23,C0086,P040,S09,E011,8,80.3,0.05,610.28,440,170.28,Card
279,2025-11-15,C0129,P029,S10,E010,5,162.04,0.0,810.2,560,250.2,Mobile
280,2025-06-13,C0075,P029,S05,E011,5,162.04,0.1,729.18,560,169.18,Card
281,2026-03-29,C0169,P044,S08,E006,5,218.87,0.15,930.2,675,255.2,Mobile
282,2025-07-30,C0082,P018,S01,E017,1,466.54,0.0,466.54,278,188.54,Transfer
283,2025-04-22,C0159,P036,S06,E005,1,296.82,0.15,252.3,217,35.3,Cash
284,2025-12-29,C0133,P025,S07,E008,6,345.2,0.05,1967.64,1776,191.64,Cash
285,2025-01-20,C0168,P001,S08,E001,1,24.41,0.1,21.97,14,7.97,Card
286,2026-03-16,C0075,P002,S03,E002,5,274.71,0.05,1304.87,1225,79.87,Cash
287,2025-04-25,C0098,P012,S05,E014,8,317.68,0.15,2160.22,1648,512.22,Cash
288,2026-03-06,C0151,P010,S10,E016,4,50.88,0.1,183.17,152,31.17,Card
289,2025-12-11,C0163,P007,S07,E006,10,107.51,0.0,1075.1,910,165.1,Card
290,2025-03-15,C0164,P038,S07,E013,9,176.65,0.15,1351.37,1017,334.37,Card
291,2025-10-16,C0009,P031,S05,E003,5,106.32,0.0,531.6,415,116.6,Card
292,2026-04-05,C0178,P048,S07,E010,10,310.27,0.1,2792.43,2250,542.43,Cash
293,2026-05-04,C0045,P006,S05,E018,5,421.8,0.0,2109.0,1260,849.0,Card
294,2026-02-13,C0142,P043,S01,E019,3,136.26,0.0,408.78,231,177.78,Transfer
295,2025-12-15,C0025,P027,S05,E006,1,144.07,0.15,122.46,95,27.46,Card
